Industry,State_Territory,Year,Number_of_SARs
Money Services,Marshall Islands,1/1/2022,26
Money Services,Maryland,1/1/2022,22570
Money Services,Massachusetts,1/1/2022,20998
Money Services,Michigan,1/1/2022,14725
Money Services,Minnesota,1/1/2022,11353
Money Services,Mississippi,1/1/2022,8935
Money Services,Missouri,1/1/2022,9031
Money Services,Montana,1/1/2022,2154
Money Services,Nebraska,1/1/2022,4664
Money Services,Nevada,1/1/2022,9443
Money Services,New Hampshire,1/1/2022,1766
Money Services,New Jersey,1/1/2022,38766
Money Services,New Mexico,1/1/2022,4398
Money Services,New York,1/1/2022,117152
Money Services,North Carolina,1/1/2022,27141
Money Services,North Dakota,1/1/2022,1669
Money Services,Northern Mariana Islands,1/1/2022,140
Money Services,Ohio,1/1/2022,16132
Money Services,Oklahoma,1/1/2022,8547
Money Services,Oregon,1/1/2022,10121
Money Services,Palau,1/1/2022,12
Money Services,Pennsylvania,1/1/2022,26234
Money Services,Puerto Rico,1/1/2022,13567
Money Services,Rhode Island,1/1/2022,2978
Money Services,South Carolina,1/1/2022,11932
Money Services,South Dakota,1/1/2022,1553
Money Services,Tennessee,1/1/2022,18102
Money Services,Texas,1/1/2022,118344
Money Services,U.S. Virgin Islands,1/1/2022,1951
Money Services,Unknown/Blank,1/1/2022,8793
Money Services,Utah,1/1/2022,5233
Money Services,Vermont,1/1/2022,628
Money Services,Virginia,1/1/2022,22972
Money Services,Washington,1/1/2022,23998
Money Services,West Virginia,1/1/2022,2157
Money Services,Wisconsin,1/1/2022,7116
Money Services,Wyoming,1/1/2022,1139
